DATE	ELAPSED_TIME_DAYS	PROVINCE_STATE	CONFIRMED	DEATHS	RECOVERED	PEOPLE_TESTED	PEOPLE_HOSPITALIZED	INCIDENT_RATE	TESTING_RATE	HOSPITALIZATION_RATE
2020-04-15 23:59:00	3	Vermont	759	29	15.0	11081.0	63.0	124.30579553252504	1814.7991044741896	8.300395256916996
2020-04-15 23:59:00	3	Virgin Islands	51	1	44.0	382.0		47.5444680613044	356.1173882238878	
2020-04-15 23:59:00	3	Virginia	6500	195	752.0	44169.0	1298.0	82.20324943121675	558.5900498657559	19.96923076923077
2020-04-15 23:59:00	3	Washington	10942	609		122854.0	645.0	144.9386130267519	1627.333975944853	5.894717601900933
2020-04-15 23:59:00	3	West Virginia	702	10	211.0	17656.0	164.0	53.06130470340847	1334.5447234236185	23.361823361823358
2020-04-15 23:59:00	3	Wisconsin	3721	183		43047.0	1091.0	71.90934282281566	831.8950498505094	29.32007524858909
2020-04-15 23:59:00	3	Wyoming	287	1	129.0	6329.0	43.0	57.718606709033864	1272.8259995173355	14.982578397212546
2020-04-15 23:59:00	3	Recovered	0	0	52096.0					
2020-04-16 23:59:00	4	Alabama	4465	133		73878.0	553.0	92.66571647873691	1506.7349080240701	12.727272727272727
2020-04-16 23:59:00	4	Alaska	300	9	110.0	8735.0	35.0	50.18828973365075	1461.3157027447974	11.666666666666664
2020-04-16 23:59:00	4	American Samoa	0	0		3.0		0.0	5.3917075537822825	
2020-04-16 23:59:00	4	Arizona	4237	150	460.0	59878.0	578.0	58.21080830591436	651.186191192761	13.641727637479349
